"tissue_id","tissue_name","tissue_category"
"frontal_pole","Frontal pole","Central Nervous System"
"superior_temporal_gyrus","Superior temporal gyrus","Central Nervous System"
"supramarginal_gyrus","Supramarginal gyrus","Central Nervous System"
"hippocampus","Hippocampus","Central Nervous System"
"hypothalamus","Hypothalamus","Central Nervous System"
"pituitary","Pituitary","Central Nervous System"
"duodenum","Duodenum","Gastrointestinal Tract"
"ileocecum","Ileocecum","Gastrointestinal Tract"
"cecum","Cecum","Gastrointestinal Tract"
"stomach","Stomach","Gastrointestinal Tract"
"spleen","Spleen","Immune System"
"thymus","Thymus","Immune System"
"adrenal_gland","Adrenal gland","Endocrine System"
"thyroid_gland","Thyroid gland","Endocrine System"
"pancreas","Pancreas","Endocrine System"
"ovary","Ovary","Reproductive System"
"uterus","Uterus","Reproductive System"
"fallopian_tube","Fallopian tube","Reproductive System"
"liver","Liver","Metabolic System"
"kidney","Kidney","Metabolic System"
"adipose","Adipose","Metabolic System"
"lung","Lung","Metabolic System"
"heart","Heart","Cardiovascular System"
"aortic_arch","Aortic arch","Cardiovascular System"
"arteria_carotis","Arteria carotis","Cardiovascular System"
"arteria_cruralis","Arteria cruralis","Cardiovascular System"
"femoral_vein","Femoral vein","Cardiovascular System"
"facial_skin","Facial skin","Skin and Muscle System"
"skin_of_back","Skin of back","Skin and Muscle System"
"muscle","Muscle","Skin and Muscle System"
